# Pearson,Kendall,,Average Pearson: -0.0116423476210455
1.23E-01,1.05E-01,,Average Kendall: -0.00547368421052631
-2.80E-01,-2.21E-01,,
3.58E-01,1.37E-01,,Pearson St. Dev: 0.226497101980123
-9.11E-02,-1.05E-01,,Kendall St. Dev: 0.16289773637046
-3.11E-01,-2.21E-01,,
2.31E-01,2.74E-01,,
1.08E-02,-1.05E-02,,
-7.14E-02,3.16E-02,,
-5.35E-02,4.21E-02,,
-1.22E-01,-2.11E-02,,
4.46E-02,1.47E-01,,
-4.21E-01,-3.05E-01,,
-5.86E-01,-4.21E-01,,
-4.97E-02,5.26E-02,,
4.46E-02,2.11E-02,,
-9.98E-02,-6.32E-02,,
-1.08E-02,1.05E-02,,
-3.95E-01,-2.95E-01,,
4.15E-02,9.47E-02,,
-2.15E-01,-1.16E-01,,
-2.85E-01,-1.68E-01,,
1.88E-01,-9.47E-02,,
3.53E-03,-2.11E-02,,
-1.38E-01,-7.37E-02,,
6.52E-02,1.16E-01,,
1.60E-03,-4.21E-02,,
-2.73E-01,-3.16E-02,,
1.95E-01,2.42E-01,,
-6.55E-02,-6.32E-02,,
1.84E-01,1.68E-01,,
5.20E-01,3.89E-01,,
-8.46E-02,-1.37E-01,,
-4.81E-02,6.32E-02,,
9.33E-02,-4.21E-02,,
2.15E-01,2.11E-02,,
-2.25E-01,-1.68E-01,,
3.67E-01,3.16E-01,,
-1.41E-01,1.05E-02,,
3.00E-02,1.26E-01,,
1.52E-01,9.47E-02,,
-3.20E-01,-2.63E-01,,
-3.11E-01,-2.63E-01,,
2.91E-01,1.47E-01,,
-7.50E-02,-8.42E-02,,
1.07E-01,1.79E-01,,
-1.87E-01,-5.26E-02,,
3.37E-01,1.89E-01,,
-2.97E-01,-2.00E-01,,
-4.96E-02,-2.11E-02,,
7.45E-02,-4.21E-02,,
3.45E-01,1.89E-01,,
-6.27E-02,9.47E-02,,
4.56E-02,6.32E-02,,
-5.02E-02,2.11E-02,,
1.44E-01,9.47E-02,,
1.84E-02,1.05E-01,,
-1.32E-01,-2.95E-01,,
9.91E-02,1.89E-01,,
-3.96E-01,-3.68E-01,,
-6.44E-02,8.42E-02,,
2.24E-01,5.26E-02,,
7.15E-01,4.32E-01,,
-2.91E-01,-2.42E-01,,
1.68E-01,1.26E-01,,
1.53E-01,3.16E-02,,
-2.95E-01,-2.11E-01,,
-1.47E-01,-8.42E-02,,
8.60E-03,-4.21E-02,,
2.72E-02,3.16E-02,,
1.11E-01,6.32E-02,,
1.75E-02,3.16E-02,,
-3.32E-02,5.26E-02,,
1.36E-01,5.26E-02,,
2.28E-02,3.16E-02,,
8.58E-02,7.37E-02,,
-5.57E-03,4.21E-02,,
-1.74E-01,-9.47E-02,,
-6.75E-01,-3.89E-01,,
2.03E-01,1.37E-01,,
-5.67E-02,3.16E-02,,
-1.55E-01,0.00E+00,,
-1.07E-04,-5.26E-02,,
1.76E-01,0.00E+00,,
-6.71E-02,-1.05E-01,,
9.32E-02,-2.11E-02,,
2.99E-01,1.26E-01,,
-2.69E-01,-2.00E-01,,
9.27E-03,9.47E-02,,
2.22E-01,2.74E-01,,
-3.07E-01,-2.42E-01,,
1.24E-01,-3.16E-02,,
-5.11E-01,-2.74E-01,,
1.76E-01,2.11E-02,,
9.99E-02,6.32E-02,,
6.33E-02,-4.21E-02,,
-2.19E-01,-2.21E-01,,
1.55E-01,1.05E-01,,
1.52E-01,1.26E-01,,
-2.98E-02,-4.21E-02,,
2.08E-01,1.37E-01,,
