# Pearson,Kendall,,Average Pearson: 0.0200066606466389
4.29E-01,2.53E-01,,Average Kendall: 0.0262105263157894
1.14E-01,7.37E-02,,
-2.22E-02,8.42E-02,,Pearson St. Dev: 0.247579482634855
-1.83E-01,-1.47E-01,,Kendall St. Dev: 0.179041130016104
-1.11E-02,4.21E-02,,
-4.57E-02,-9.47E-02,,
-2.72E-02,2.11E-02,,
-6.91E-02,1.05E-02,,
6.25E-01,3.79E-01,,
3.31E-01,2.74E-01,,
3.22E-01,1.68E-01,,
9.13E-02,1.26E-01,,
-2.23E-01,-6.32E-02,,
1.76E-01,1.47E-01,,
3.19E-01,2.74E-01,,
-3.73E-01,-3.16E-01,,
-2.65E-01,-7.37E-02,,
-1.66E-02,2.11E-02,,
-1.19E-01,7.37E-02,,
3.04E-01,1.37E-01,,
-2.60E-02,0.00E+00,,
-2.51E-01,-1.05E-01,,
2.28E-01,1.26E-01,,
8.31E-02,1.16E-01,,
-1.69E-01,-1.37E-01,,
-4.22E-01,-3.05E-01,,
-2.37E-01,-1.26E-01,,
-3.50E-01,-3.16E-01,,
3.22E-01,2.74E-01,,
-5.29E-01,-3.16E-01,,
-3.37E-01,-2.32E-01,,
5.52E-02,1.05E-02,,
-7.43E-02,-1.05E-02,,
2.81E-01,1.37E-01,,
1.14E-01,8.42E-02,,
1.64E-01,5.26E-02,,
3.23E-01,2.21E-01,,
-1.36E-01,-1.47E-01,,
-1.25E-01,-3.16E-02,,
1.56E-01,-9.47E-02,,
4.36E-02,5.26E-02,,
5.53E-02,0.00E+00,,
6.28E-01,5.26E-01,,
1.98E-01,2.84E-01,,
1.66E-01,-1.58E-01,,
7.91E-02,-1.05E-02,,
-3.67E-01,-2.42E-01,,
1.42E-01,1.26E-01,,
-8.88E-03,1.47E-01,,
-1.21E-01,-5.26E-02,,
9.62E-02,1.05E-01,,
3.63E-01,2.32E-01,,
1.21E-01,9.47E-02,,
-1.76E-01,-1.89E-01,,
-4.32E-01,-3.68E-01,,
1.82E-01,1.89E-01,,
-8.97E-03,2.11E-02,,
1.11E-01,1.68E-01,,
-3.12E-01,-2.42E-01,,
1.37E-01,2.53E-01,,
-6.54E-02,-5.26E-02,,
5.09E-01,3.68E-01,,
-1.80E-01,-7.37E-02,,
2.48E-01,2.53E-01,,
-7.37E-02,-3.16E-02,,
-2.27E-01,-9.47E-02,,
1.21E-01,1.16E-01,,
-1.68E-01,-1.16E-01,,
3.93E-03,-2.11E-02,,
3.02E-01,1.89E-01,,
4.26E-01,1.47E-01,,
-2.73E-02,-4.21E-02,,
-9.05E-02,-3.16E-02,,
-9.26E-02,-1.05E-02,,
-1.59E-01,-7.37E-02,,
-4.47E-01,-3.16E-01,,
2.32E-01,1.26E-01,,
2.67E-01,1.05E-01,,
1.45E-01,1.89E-01,,
-1.18E-01,7.37E-02,,
2.37E-02,9.47E-02,,
-4.79E-01,-3.26E-01,,
1.77E-01,1.05E-01,,
6.13E-02,1.68E-01,,
3.53E-01,1.68E-01,,
6.18E-02,-1.05E-01,,
-7.07E-02,1.05E-01,,
-3.38E-01,-2.42E-01,,
2.07E-01,1.47E-01,,
-4.29E-02,-1.05E-02,,
-2.43E-01,-2.32E-01,,
-3.06E-01,-1.47E-01,,
-8.79E-03,3.16E-02,,
-3.25E-01,-2.42E-01,,
4.62E-02,-6.32E-02,,
5.43E-02,1.79E-01,,
-3.30E-02,6.32E-02,,
3.58E-01,2.21E-01,,
4.26E-01,3.26E-01,,
1.53E-01,1.47E-01,,
