Pearson,Kendall,,Average Pearson: 0.93613902,,,Pearson St. Dev: 0.07524952
0.995013878,0.957894737,,Average Kendall: 0.84442105,,,Kendall St. Dev:  0.08214615
0.915099009,0.778947368,,,,,
0.976687815,0.905263158,,,,,
0.972582101,0.926315789,,,,,
0.777645065,0.8,,,,,
0.966671769,0.852631579,,,,,
0.947763589,0.852631579,,,,,
0.94968606,0.884210526,,,,,
0.94814042,0.926315789,,,,,
0.99379682,0.957894737,,,,,
0.989247131,0.957894737,,,,,
0.822565642,0.747368421,,,,,
0.944574286,0.778947368,,,,,
0.962560529,0.810526316,,,,,
0.986562769,0.884210526,,,,,
0.988584702,0.905263158,,,,,
0.979961901,0.957894737,,,,,
0.994226463,0.905263158,,,,,
0.961498785,0.831578947,,,,,
0.98545153,0.936842105,,,,,
0.95004027,0.842105263,,,,,
0.953254543,0.863157895,,,,,
0.93141642,0.747368421,,,,,
0.958386361,0.852631579,,,,,
0.985305107,0.884210526,,,,,
0.990294036,0.905263158,,,,,
0.886823359,0.736842105,,,,,
0.897030592,0.768421053,,,,,
0.935917275,0.863157895,,,,,
0.98819754,0.926315789,,,,,
0.953714977,0.768421053,,,,,
0.794581586,0.747368421,,,,,
0.985662424,0.863157895,,,,,
0.979513393,0.926315789,,,,,
0.910739368,0.821052632,,,,,
0.981730939,0.915789474,,,,,
0.778641171,0.726315789,,,,,
0.972983259,0.842105263,,,,,
0.986109059,0.905263158,,,,,
0.985411267,0.863157895,,,,,
0.982131252,0.936842105,,,,,
0.96336567,0.821052632,,,,,
0.981968593,0.884210526,,,,,
0.978134152,0.842105263,,,,,
0.963750733,0.873684211,,,,,
0.920091614,0.778947368,,,,,
0.523026569,0.547368421,,,,,
0.962750913,0.915789474,,,,,
0.714947467,0.631578947,,,,,
0.920683585,0.863157895,,,,,
0.935645628,0.884210526,,,,,
0.918824675,0.673684211,,,,,
0.859315026,0.6,,,,,
0.93869695,0.747368421,,,,,
0.956257681,0.842105263,,,,,
0.973968945,0.873684211,,,,,
0.961851693,0.736842105,,,,,
0.822926181,0.757894737,,,,,
0.987780482,0.926315789,,,,,
0.968712525,0.894736842,,,,,
0.986368461,0.915789474,,,,,
0.878363939,0.757894737,,,,,
0.921665151,0.863157895,,,,,
0.985182881,0.957894737,,,,,
0.939091355,0.831578947,,,,,
0.997063762,0.915789474,,,,,
0.993616444,0.915789474,,,,,
0.973583654,0.842105263,,,,,
0.885184344,0.694736842,,,,,
0.984644685,0.936842105,,,,,
0.990627457,0.873684211,,,,,
0.996357626,0.947368421,,,,,
0.80512817,0.863157895,,,,,
0.988863526,0.926315789,,,,,
0.959145129,0.915789474,,,,,
0.994154923,0.905263158,,,,,
0.983893371,0.915789474,,,,,
0.853262752,0.810526316,,,,,
0.994180035,0.884210526,,,,,
0.991154089,0.905263158,,,,,
0.94050827,0.915789474,,,,,
0.979338085,0.947368421,,,,,
0.864654857,0.757894737,,,,,
0.894316724,0.831578947,,,,,
0.891059409,0.831578947,,,,,
0.892154299,0.715789474,,,,,
0.968714207,0.831578947,,,,,
0.994017114,0.894736842,,,,,
0.871102645,0.863157895,,,,,
0.937847761,0.821052632,,,,,
0.958863586,0.873684211,,,,,
0.760719182,0.715789474,,,,,
0.741242092,0.747368421,,,,,
0.955264325,0.873684211,,,,,
0.986236175,0.852631579,,,,,
0.893022605,0.747368421,,,,,
0.970582228,0.810526316,,,,,
0.955384411,0.810526316,,,,,
0.968974985,0.821052632,,,,,
0.989463314,0.842105263,,,,,
